EmployeeID,DepartmentID,Gender,JobLevelID,MonthEnd
E0169,D001,F,JL2,2019-04-30
E0173,D005,M,JL6,2019-04-30
E0177,D005,F,JL4,2019-04-30
E0183,D005,M,JL5,2019-04-30
E0188,D004,M,JL5,2019-04-30
E0198,D001,F,JL3,2019-04-30
E0226,D007,F,JL4,2019-04-30
E0246,D002,M,JL5,2019-04-30
E0336,D009,F,JL4,2019-04-30
E0343,D008,F,JL2,2019-04-30
E0359,D006,M,JL1,2019-04-30
E0376,D008,M,JL2,2019-04-30
E0412,D010,M,JL5,2019-04-30
E0419,D008,M,JL5,2019-04-30
E0433,D001,M,JL1,2019-04-30
E0447,D001,M,JL3,2019-04-30
E0458,D004,M,JL2,2019-04-30
E0470,D009,M,JL5,2019-04-30
E0509,D006,F,JL6,2019-04-30
E0526,D002,M,JL6,2019-04-30
E0537,D004,F,JL2,2019-04-30
E0546,D002,F,JL5,2019-04-30
E0562,D009,M,JL1,2019-04-30
E0563,D006,M,JL3,2019-04-30
E0578,D003,F,JL2,2019-04-30
E0612,D004,M,JL3,2019-04-30
E0620,D009,F,JL4,2019-04-30
E0634,D008,M,JL4,2019-04-30
E0649,D005,F,JL3,2019-04-30
E0661,D003,M,JL5,2019-04-30
E0706,D005,M,JL1,2019-04-30
E0713,D005,F,JL1,2019-04-30
E0759,D005,M,JL4,2019-04-30
E0760,D005,M,JL1,2019-04-30
E0771,D009,M,JL5,2019-04-30
E0815,D009,F,JL6,2019-04-30
E0883,D008,M,JL3,2019-04-30
E0890,D002,F,JL3,2019-04-30
E0893,D010,F,JL5,2019-04-30
E0918,D006,M,JL6,2019-04-30
E0927,D006,M,JL2,2019-04-30
E0931,D010,M,JL4,2019-04-30
E0933,D006,M,JL2,2019-04-30
E0968,D004,M,JL6,2019-04-30
E0969,D003,F,JL5,2019-04-30
E0982,D003,M,JL3,2019-04-30
E0987,D006,M,JL1,2019-04-30
E0991,D009,M,JL5,2019-04-30
E0004,D001,F,JL4,2019-05-31
E0022,D001,F,JL5,2019-05-31
E0046,D007,F,JL1,2019-05-31
E0106,D001,F,JL1,2019-05-31
E0115,D009,F,JL3,2019-05-31
E0168,D006,M,JL4,2019-05-31
E0169,D001,F,JL2,2019-05-31
E0173,D005,M,JL6,2019-05-31
E0177,D005,F,JL4,2019-05-31
E0183,D005,M,JL5,2019-05-31
E0188,D004,M,JL5,2019-05-31
E0198,D001,F,JL6,2019-05-31
E0226,D007,F,JL4,2019-05-31
E0239,D006,M,JL2,2019-05-31
E0246,D002,M,JL5,2019-05-31
E0336,D009,F,JL4,2019-05-31
E0343,D008,F,JL2,2019-05-31
E0359,D006,M,JL1,2019-05-31
E0376,D008,M,JL2,2019-05-31
E0390,D008,M,JL1,2019-05-31
E0412,D010,M,JL5,2019-05-31
E0419,D008,M,JL5,2019-05-31
E0433,D001,M,JL1,2019-05-31
E0447,D001,M,JL3,2019-05-31
E0458,D004,M,JL2,2019-05-31
E0470,D009,M,JL5,2019-05-31
E0509,D006,F,JL6,2019-05-31
E0526,D002,M,JL6,2019-05-31
E0537,D004,F,JL2,2019-05-31
E0546,D002,F,JL5,2019-05-31
E0558,D001,M,JL6,2019-05-31
E0562,D009,M,JL1,2019-05-31
E0563,D006,M,JL3,2019-05-31
E0566,D001,M,JL3,2019-05-31
E0578,D003,F,JL2,2019-05-31
E0612,D004,M,JL3,2019-05-31
E0620,D009,F,JL4,2019-05-31
E0627,D007,F,JL6,2019-05-31
E0634,D008,M,JL4,2019-05-31
E0649,D005,F,JL3,2019-05-31
E0661,D003,M,JL5,2019-05-31
E0706,D005,M,JL1,2019-05-31
E0713,D005,F,JL1,2019-05-31
E0759,D005,M,JL4,2019-05-31
E0760,D005,M,JL1,2019-05-31
E0771,D009,M,JL5,2019-05-31
E0815,D009,F,JL6,2019-05-31
E0882,D005,F,JL1,2019-05-31
E0883,D008,M,JL3,2019-05-31
E0890,D002,F,JL3,2019-05-31
E0893,D010,F,JL5,2019-05-31
E0918,D006,M,JL6,2019-05-31
E0927,D006,M,JL2,2019-05-31
E0931,D010,M,JL4,2019-05-31
E0933,D006,M,JL2,2019-05-31
E0968,D004,M,JL6,2019-05-31
E0969,D003,F,JL5,2019-05-31
E0982,D003,M,JL3,2019-05-31
E0987,D006,M,JL2,2019-05-31
E0991,D009,M,JL5,2019-05-31
E0004,D001,F,JL4,2019-06-30
E0022,D001,F,JL5,2019-06-30
E0035,D006,F,JL4,2019-06-30
E0046,D007,F,JL1,2019-06-30
E0094,D003,F,JL1,2019-06-30
E0106,D001,F,JL1,2019-06-30
E0115,D009,F,JL3,2019-06-30
E0168,D006,M,JL4,2019-06-30
E0169,D001,F,JL2,2019-06-30
E0173,D005,M,JL6,2019-06-30
E0177,D005,F,JL4,2019-06-30
E0183,D005,M,JL5,2019-06-30
E0188,D004,M,JL5,2019-06-30
E0198,D001,F,JL6,2019-06-30
E0226,D007,F,JL4,2019-06-30
E0234,D006,M,JL2,2019-06-30
E0235,D008,M,JL2,2019-06-30
E0239,D007,M,JL2,2019-06-30
E0246,D002,M,JL5,2019-06-30
E0336,D009,F,JL4,2019-06-30
E0339,D010,F,JL1,2019-06-30
E0343,D008,F,JL2,2019-06-30
E0345,D003,F,JL2,2019-06-30
E0359,D006,M,JL1,2019-06-30
E0376,D008,M,JL2,2019-06-30
E0390,D008,M,JL1,2019-06-30
E0412,D010,M,JL6,2019-06-30
E0419,D008,M,JL5,2019-06-30
E0433,D001,M,JL1,2019-06-30
E0447,D001,M,JL3,2019-06-30
E0458,D004,M,JL2,2019-06-30
E0470,D009,M,JL5,2019-06-30
E0509,D006,F,JL6,2019-06-30
E0526,D002,M,JL6,2019-06-30
E0537,D004,F,JL2,2019-06-30
E0546,D002,F,JL5,2019-06-30
E0558,D001,M,JL6,2019-06-30
E0562,D009,M,JL1,2019-06-30
E0563,D006,M,JL3,2019-06-30
E0566,D001,M,JL3,2019-06-30
E0578,D003,F,JL2,2019-06-30
E0612,D004,M,JL3,2019-06-30
E0620,D009,F,JL4,2019-06-30
E0627,D007,F,JL6,2019-06-30
E0634,D008,M,JL4,2019-06-30
E0649,D005,F,JL3,2019-06-30
E0661,D003,M,JL5,2019-06-30
E0663,D008,M,JL4,2019-06-30
E0706,D005,M,JL1,2019-06-30
E0713,D005,F,JL1,2019-06-30
E0739,D001,F,JL2,2019-06-30
E0759,D005,M,JL4,2019-06-30
E0760,D007,M,JL1,2019-06-30
E0771,D009,M,JL5,2019-06-30
E0781,D002,F,JL6,2019-06-30
E0815,D009,F,JL6,2019-06-30
E0823,D004,F,JL6,2019-06-30
E0882,D005,F,JL1,2019-06-30
E0883,D008,M,JL3,2019-06-30
E0890,D002,F,JL3,2019-06-30
E0893,D010,F,JL5,2019-06-30
E0918,D006,M,JL6,2019-06-30
E0921,D004,M,JL2,2019-06-30
E0925,D004,M,JL5,2019-06-30
E0926,D003,F,JL4,2019-06-30
E0927,D006,M,JL2,2019-06-30
E0931,D010,M,JL4,2019-06-30
E0933,D006,M,JL5,2019-06-30
E0968,D004,M,JL6,2019-06-30
E0969,D003,F,JL5,2019-06-30
E0982,D003,M,JL3,2019-06-30
E0987,D006,M,JL2,2019-06-30
E0991,D009,M,JL5,2019-06-30
E0004,D001,F,JL5,2019-07-31
E0022,D001,F,JL5,2019-07-31
E0031,D002,F,JL4,2019-07-31
E0035,D006,F,JL4,2019-07-31
E0046,D007,F,JL1,2019-07-31
E0060,D006,F,JL6,2019-07-31
E0084,D003,M,JL2,2019-07-31
E0091,D006,M,JL5,2019-07-31
E0094,D003,F,JL1,2019-07-31
E0105,D001,F,JL2,2019-07-31
E0106,D001,F,JL1,2019-07-31
E0115,D009,F,JL3,2019-07-31
E0134,D008,F,JL2,2019-07-31
E0141,D006,M,JL1,2019-07-31
E0168,D006,M,JL4,2019-07-31
E0169,D001,F,JL2,2019-07-31
E0171,D009,F,JL3,2019-07-31
E0173,D005,M,JL6,2019-07-31
E0177,D008,F,JL4,2019-07-31
E0183,D005,M,JL5,2019-07-31
E0188,D004,M,JL5,2019-07-31
E0197,D003,M,JL4,2019-07-31
E0198,D001,F,JL6,2019-07-31
E0225,D001,M,JL1,2019-07-31
E0226,D007,F,JL4,2019-07-31
E0234,D006,M,JL2,2019-07-31
E0235,D008,M,JL2,2019-07-31
E0239,D007,M,JL3,2019-07-31
E0246,D002,M,JL5,2019-07-31
E0291,D005,M,JL3,2019-07-31
E0336,D009,F,JL4,2019-07-31
E0339,D010,F,JL1,2019-07-31
E0343,D008,F,JL2,2019-07-31
E0345,D003,F,JL2,2019-07-31
E0359,D006,M,JL1,2019-07-31
E0376,D008,M,JL2,2019-07-31
E0382,D005,M,JL4,2019-07-31
E0390,D008,M,JL1,2019-07-31
E0412,D010,M,JL6,2019-07-31
E0419,D008,M,JL5,2019-07-31
E0433,D001,M,JL1,2019-07-31
E0447,D001,M,JL3,2019-07-31
E0458,D004,M,JL2,2019-07-31
E0470,D009,M,JL5,2019-07-31
E0509,D006,F,JL6,2019-07-31
E0516,D004,M,JL3,2019-07-31
E0526,D002,M,JL6,2019-07-31
E0531,D005,F,JL2,2019-07-31
E0537,D004,F,JL2,2019-07-31
E0546,D002,F,JL5,2019-07-31
E0558,D001,M,JL6,2019-07-31
E0562,D009,M,JL1,2019-07-31
E0563,D006,M,JL3,2019-07-31
E0566,D001,M,JL3,2019-07-31
E0578,D003,F,JL2,2019-07-31
E0612,D004,M,JL3,2019-07-31
E0620,D009,F,JL4,2019-07-31
E0627,D007,F,JL6,2019-07-31
E0634,D008,M,JL4,2019-07-31
E0649,D005,F,JL3,2019-07-31
E0660,D008,F,JL3,2019-07-31
E0661,D003,M,JL5,2019-07-31
E0663,D008,M,JL4,2019-07-31
E0706,D005,M,JL1,2019-07-31
E0713,D005,F,JL1,2019-07-31
E0739,D001,F,JL2,2019-07-31
E0759,D005,M,JL4,2019-07-31
E0760,D007,M,JL1,2019-07-31
E0771,D009,M,JL5,2019-07-31
E0781,D002,F,JL6,2019-07-31
E0793,D009,M,JL6,2019-07-31
E0806,D007,M,JL1,2019-07-31
E0815,D009,F,JL6,2019-07-31
E0823,D004,F,JL6,2019-07-31
E0882,D005,F,JL1,2019-07-31
E0883,D008,M,JL3,2019-07-31
E0890,D002,F,JL3,2019-07-31
E0893,D010,F,JL5,2019-07-31
E0918,D006,M,JL6,2019-07-31
E0921,D004,M,JL2,2019-07-31
E0925,D004,M,JL5,2019-07-31
E0926,D003,F,JL4,2019-07-31
E0927,D006,M,JL2,2019-07-31
E0931,D010,M,JL4,2019-07-31
E0933,D006,M,JL5,2019-07-31
E0935,D004,F,JL5,2019-07-31
E0968,D004,M,JL6,2019-07-31
E0969,D003,F,JL5,2019-07-31
E0982,D003,M,JL3,2019-07-31
E0987,D006,M,JL2,2019-07-31
E0991,D009,M,JL5,2019-07-31
E0004,D001,F,JL5,2019-08-31
E0022,D001,F,JL5,2019-08-31
E0031,D002,F,JL4,2019-08-31
E0035,D006,F,JL4,2019-08-31
E0038,D002,F,JL6,2019-08-31
E0046,D007,F,JL1,2019-08-31
E0060,D006,F,JL6,2019-08-31
E0068,D009,M,JL6,2019-08-31
E0084,D003,M,JL2,2019-08-31
E0091,D006,M,JL5,2019-08-31
E0094,D003,F,JL2,2019-08-31
E0105,D001,F,JL2,2019-08-31
E0106,D001,F,JL1,2019-08-31
E0115,D003,F,JL3,2019-08-31
E0118,D003,F,JL4,2019-08-31
E0134,D008,F,JL2,2019-08-31
E0141,D006,M,JL1,2019-08-31
E0168,D006,M,JL4,2019-08-31
E0169,D001,F,JL2,2019-08-31
E0171,D009,F,JL3,2019-08-31
E0173,D005,M,JL6,2019-08-31
E0177,D008,F,JL4,2019-08-31
E0183,D005,M,JL2,2019-08-31
E0188,D004,M,JL5,2019-08-31
E0197,D003,M,JL4,2019-08-31
E0198,D001,F,JL6,2019-08-31
E0225,D001,M,JL1,2019-08-31
E0226,D007,F,JL4,2019-08-31
E0234,D006,M,JL2,2019-08-31
E0235,D008,M,JL2,2019-08-31
E0246,D002,M,JL5,2019-08-31
E0291,D005,M,JL3,2019-08-31
E0336,D009,F,JL4,2019-08-31
E0339,D010,F,JL1,2019-08-31
E0343,D008,F,JL2,2019-08-31
E0345,D003,F,JL2,2019-08-31
E0359,D006,M,JL1,2019-08-31
E0376,D008,M,JL2,2019-08-31
E0382,D005,M,JL5,2019-08-31
E0390,D008,M,JL1,2019-08-31
E0412,D010,M,JL6,2019-08-31
E0419,D008,M,JL5,2019-08-31
E0433,D001,M,JL1,2019-08-31
E0435,D007,M,JL4,2019-08-31
E0447,D001,M,JL3,2019-08-31
E0458,D004,M,JL3,2019-08-31
E0470,D009,M,JL5,2019-08-31
E0486,D002,M,JL2,2019-08-31
E0509,D006,F,JL6,2019-08-31
E0516,D004,M,JL3,2019-08-31
E0518,D003,F,JL2,2019-08-31
E0526,D002,M,JL6,2019-08-31
E0531,D005,F,JL2,2019-08-31
E0537,D004,F,JL6,2019-08-31
E0546,D002,F,JL5,2019-08-31
E0558,D001,M,JL6,2019-08-31
E0562,D009,M,JL1,2019-08-31
E0563,D006,M,JL3,2019-08-31
E0566,D001,M,JL3,2019-08-31
E0578,D003,F,JL2,2019-08-31
E0599,D010,F,JL1,2019-08-31
E0612,D004,M,JL6,2019-08-31
E0620,D009,F,JL4,2019-08-31
E0627,D007,F,JL6,2019-08-31
E0634,D008,M,JL4,2019-08-31
E0649,D005,F,JL3,2019-08-31
E0660,D008,F,JL3,2019-08-31
E0661,D003,M,JL5,2019-08-31
E0663,D008,M,JL4,2019-08-31
E0706,D005,M,JL1,2019-08-31
E0713,D005,F,JL1,2019-08-31
E0739,D001,F,JL2,2019-08-31
E0759,D005,M,JL4,2019-08-31
E0760,D007,M,JL1,2019-08-31
E0771,D009,M,JL5,2019-08-31
E0781,D002,F,JL6,2019-08-31
E0793,D009,M,JL6,2019-08-31
E0799,D005,F,JL5,2019-08-31
E0806,D007,M,JL1,2019-08-31
E0815,D009,F,JL6,2019-08-31
E0823,D004,F,JL6,2019-08-31
E0882,D005,F,JL1,2019-08-31
E0883,D008,M,JL3,2019-08-31
E0890,D002,F,JL3,2019-08-31
E0893,D007,F,JL5,2019-08-31
E0918,D006,M,JL6,2019-08-31
E0921,D004,M,JL2,2019-08-31
E0925,D004,M,JL5,2019-08-31
E0926,D003,F,JL4,2019-08-31
E0927,D006,M,JL2,2019-08-31
E0931,D010,M,JL4,2019-08-31
E0933,D006,M,JL5,2019-08-31
E0935,D004,F,JL5,2019-08-31
E0968,D004,M,JL2,2019-08-31
E0969,D003,F,JL5,2019-08-31
E0982,D003,M,JL3,2019-08-31
E0987,D006,M,JL2,2019-08-31
E0991,D009,M,JL5,2019-08-31
E0004,D001,F,JL5,2019-09-30
E0012,D004,F,JL3,2019-09-30
E0022,D001,F,JL5,2019-09-30
E0031,D002,F,JL4,2019-09-30
E0035,D006,F,JL4,2019-09-30
E0038,D002,F,JL6,2019-09-30
E0046,D007,F,JL1,2019-09-30
E0060,D006,F,JL6,2019-09-30
E0068,D009,M,JL6,2019-09-30
E0084,D003,M,JL2,2019-09-30
E0087,D002,M,JL1,2019-09-30
E0091,D006,M,JL5,2019-09-30
E0094,D003,F,JL2,2019-09-30
E0105,D001,F,JL2,2019-09-30
E0106,D001,F,JL1,2019-09-30
E0115,D003,F,JL3,2019-09-30
E0118,D003,F,JL4,2019-09-30
E0120,D001,M,JL5,2019-09-30
E0125,D006,M,JL2,2019-09-30
E0134,D007,F,JL2,2019-09-30
E0141,D006,M,JL1,2019-09-30
E0168,D006,M,JL4,2019-09-30
E0169,D001,F,JL2,2019-09-30
E0171,D009,F,JL3,2019-09-30
E0173,D005,M,JL6,2019-09-30
E0175,D010,M,JL5,2019-09-30
E0177,D008,F,JL4,2019-09-30
E0183,D005,M,JL2,2019-09-30
E0188,D004,M,JL5,2019-09-30
E0197,D003,M,JL4,2019-09-30
E0198,D001,F,JL6,2019-09-30
E0225,D001,M,JL1,2019-09-30
E0226,D007,F,JL4,2019-09-30
E0234,D006,M,JL2,2019-09-30
E0235,D008,M,JL2,2019-09-30
E0246,D002,M,JL5,2019-09-30
E0291,D005,M,JL3,2019-09-30
E0336,D009,F,JL4,2019-09-30
E0339,D010,F,JL1,2019-09-30
E0343,D008,F,JL2,2019-09-30
E0345,D003,F,JL2,2019-09-30
E0359,D006,M,JL1,2019-09-30
E0376,D008,M,JL2,2019-09-30
E0390,D008,M,JL1,2019-09-30
E0412,D010,M,JL6,2019-09-30
E0419,D008,M,JL5,2019-09-30
E0433,D001,M,JL3,2019-09-30
E0435,D007,M,JL4,2019-09-30
E0447,D001,M,JL3,2019-09-30
E0458,D004,M,JL3,2019-09-30
E0470,D009,M,JL5,2019-09-30
E0486,D002,M,JL2,2019-09-30
E0509,D006,F,JL6,2019-09-30
E0516,D004,M,JL3,2019-09-30
E0518,D003,F,JL2,2019-09-30
E0526,D002,M,JL2,2019-09-30
E0531,D005,F,JL2,2019-09-30
E0537,D004,F,JL6,2019-09-30
E0538,D001,F,JL4,2019-09-30
E0546,D002,F,JL5,2019-09-30
E0558,D001,M,JL6,2019-09-30
E0562,D009,M,JL1,2019-09-30
E0563,D006,M,JL3,2019-09-30
E0566,D001,M,JL3,2019-09-30
E0578,D003,F,JL2,2019-09-30
E0599,D010,F,JL1,2019-09-30
E0618,D008,F,JL1,2019-09-30
E0620,D009,F,JL4,2019-09-30
E0627,D007,F,JL6,2019-09-30
E0631,D002,F,JL5,2019-09-30
E0634,D008,M,JL4,2019-09-30
E0649,D005,F,JL3,2019-09-30
E0660,D008,F,JL3,2019-09-30
E0661,D003,M,JL5,2019-09-30
E0663,D008,M,JL4,2019-09-30
E0706,D005,M,JL1,2019-09-30
E0713,D005,F,JL1,2019-09-30
E0739,D001,F,JL2,2019-09-30
E0759,D005,M,JL4,2019-09-30
E0760,D007,M,JL1,2019-09-30
E0771,D009,M,JL5,2019-09-30
E0781,D002,F,JL6,2019-09-30
E0791,D010,F,JL2,2019-09-30
E0793,D009,M,JL6,2019-09-30
E0799,D005,F,JL5,2019-09-30
E0806,D007,M,JL1,2019-09-30
E0815,D009,F,JL6,2019-09-30
E0823,D004,F,JL6,2019-09-30
E0846,D008,F,JL2,2019-09-30
E0847,D004,F,JL2,2019-09-30
E0882,D005,F,JL1,2019-09-30
E0883,D008,M,JL3,2019-09-30
E0888,D007,F,JL6,2019-09-30
E0890,D002,F,JL3,2019-09-30
E0893,D007,F,JL5,2019-09-30
E0918,D006,M,JL6,2019-09-30
E0921,D004,M,JL2,2019-09-30
E0925,D004,M,JL5,2019-09-30
E0926,D003,F,JL4,2019-09-30
E0927,D006,M,JL2,2019-09-30
E0931,D010,M,JL4,2019-09-30
E0933,D006,M,JL5,2019-09-30
E0935,D004,F,JL5,2019-09-30
E0958,D002,M,JL3,2019-09-30
E0968,D004,M,JL2,2019-09-30
E0969,D004,F,JL5,2019-09-30
E0982,D003,M,JL3,2019-09-30
E0987,D006,M,JL2,2019-09-30
E0991,D009,M,JL5,2019-09-30
E0995,D002,M,JL1,2019-09-30
E0004,D001,F,JL5,2019-10-31
E0012,D004,F,JL3,2019-10-31
E0022,D001,F,JL5,2019-10-31
E0031,D002,F,JL4,2019-10-31
E0035,D006,F,JL4,2019-10-31
E0038,D002,F,JL6,2019-10-31
E0046,D007,F,JL2,2019-10-31
E0060,D006,F,JL6,2019-10-31
E0068,D009,M,JL6,2019-10-31
E0084,D003,M,JL2,2019-10-31
E0087,D002,M,JL1,2019-10-31
E0091,D006,M,JL5,2019-10-31
E0092,D008,F,JL4,2019-10-31
E0094,D003,F,JL2,2019-10-31
E0095,D004,M,JL4,2019-10-31
E0105,D001,F,JL2,2019-10-31
E0106,D001,F,JL1,2019-10-31
E0115,D003,F,JL3,2019-10-31
E0118,D003,F,JL4,2019-10-31
E0120,D001,M,JL5,2019-10-31
E0125,D006,M,JL2,2019-10-31
E0134,D007,F,JL2,2019-10-31
E0141,D006,M,JL1,2019-10-31
E0168,D006,M,JL4,2019-10-31
E0169,D001,F,JL2,2019-10-31
E0171,D009,F,JL3,2019-10-31
E0173,D005,M,JL6,2019-10-31
E0175,D010,M,JL5,2019-10-31
E0177,D008,F,JL4,2019-10-31
E0183,D005,M,JL2,2019-10-31
E0188,D004,M,JL5,2019-10-31
E0197,D003,M,JL4,2019-10-31
E0198,D001,F,JL6,2019-10-31
E0201,D002,F,JL2,2019-10-31
E0225,D001,M,JL1,2019-10-31
E0226,D007,F,JL4,2019-10-31
E0234,D006,M,JL2,2019-10-31
E0235,D008,M,JL2,2019-10-31
E0246,D002,M,JL5,2019-10-31
E0287,D007,F,JL2,2019-10-31
E0291,D005,M,JL3,2019-10-31
E0294,D007,F,JL4,2019-10-31
E0305,D010,M,JL1,2019-10-31
E0336,D009,F,JL4,2019-10-31
E0339,D010,F,JL2,2019-10-31
E0343,D008,F,JL2,2019-10-31
E0345,D003,F,JL2,2019-10-31
E0359,D006,M,JL2,2019-10-31
E0376,D008,M,JL2,2019-10-31
E0390,D008,M,JL1,2019-10-31
E0412,D010,M,JL6,2019-10-31
E0419,D008,M,JL5,2019-10-31
E0433,D001,M,JL3,2019-10-31
E0435,D007,M,JL4,2019-10-31
E0447,D001,M,JL3,2019-10-31
E0458,D004,M,JL3,2019-10-31
E0470,D002,M,JL5,2019-10-31
E0486,D002,M,JL2,2019-10-31
E0509,D006,F,JL4,2019-10-31
E0516,D004,M,JL3,2019-10-31
E0518,D003,F,JL3,2019-10-31
E0526,D002,M,JL2,2019-10-31
E0531,D005,F,JL2,2019-10-31
E0537,D004,F,JL6,2019-10-31
E0538,D001,F,JL4,2019-10-31
E0546,D002,F,JL5,2019-10-31
E0558,D001,M,JL6,2019-10-31
E0562,D009,M,JL1,2019-10-31
E0563,D006,M,JL3,2019-10-31
E0566,D008,M,JL3,2019-10-31
E0578,D003,F,JL2,2019-10-31
E0582,D004,M,JL6,2019-10-31
E0599,D010,F,JL1,2019-10-31
E0618,D008,F,JL1,2019-10-31
E0620,D009,F,JL4,2019-10-31
E0627,D007,F,JL6,2019-10-31
E0631,D002,F,JL5,2019-10-31
E0634,D008,M,JL4,2019-10-31
E0649,D005,F,JL3,2019-10-31
E0660,D008,F,JL3,2019-10-31
E0661,D003,M,JL5,2019-10-31
E0663,D008,M,JL4,2019-10-31
E0706,D005,M,JL1,2019-10-31
E0710,D010,F,JL5,2019-10-31
E0712,D008,M,JL2,2019-10-31
E0713,D005,F,JL1,2019-10-31
E0739,D001,F,JL2,2019-10-31
E0758,D009,F,JL6,2019-10-31
E0759,D005,M,JL4,2019-10-31
E0760,D007,M,JL1,2019-10-31
E0771,D009,M,JL5,2019-10-31
E0781,D002,F,JL6,2019-10-31
E0791,D010,F,JL2,2019-10-31
E0793,D009,M,JL6,2019-10-31
E0799,D005,F,JL5,2019-10-31
E0806,D007,M,JL1,2019-10-31
E0815,D009,F,JL6,2019-10-31
E0823,D004,F,JL6,2019-10-31
E0846,D008,F,JL2,2019-10-31
E0847,D004,F,JL2,2019-10-31
E0854,D004,F,JL1,2019-10-31
E0882,D005,F,JL1,2019-10-31
E0883,D008,M,JL3,2019-10-31
E0888,D007,F,JL6,2019-10-31
E0890,D002,F,JL3,2019-10-31
E0893,D007,F,JL5,2019-10-31
E0918,D006,M,JL6,2019-10-31
E0921,D004,M,JL2,2019-10-31
E0925,D004,M,JL5,2019-10-31
E0926,D003,F,JL4,2019-10-31
E0927,D006,M,JL2,2019-10-31
E0931,D010,M,JL4,2019-10-31
E0932,D009,M,JL6,2019-10-31
E0933,D006,M,JL5,2019-10-31
E0935,D004,F,JL5,2019-10-31
E0944,D005,F,JL5,2019-10-31
E0956,D004,F,JL4,2019-10-31
E0957,D007,M,JL6,2019-10-31
E0958,D002,M,JL3,2019-10-31
E0968,D004,M,JL2,2019-10-31
E0969,D004,F,JL5,2019-10-31
E0982,D003,M,JL3,2019-10-31
E0987,D006,M,JL2,2019-10-31
E0991,D009,M,JL5,2019-10-31
E0995,D002,M,JL1,2019-10-31
E0004,D001,F,JL5,2019-11-30
E0012,D004,F,JL3,2019-11-30
E0022,D001,F,JL5,2019-11-30
E0031,D002,F,JL4,2019-11-30
E0035,D006,F,JL4,2019-11-30
E0038,D002,F,JL6,2019-11-30
E0046,D007,F,JL2,2019-11-30
E0060,D006,F,JL6,2019-11-30
E0068,D007,M,JL6,2019-11-30
E0084,D003,M,JL2,2019-11-30
E0087,D002,M,JL1,2019-11-30
