EmployeeID,EventDate,EventType,OldValue,NewValue
E0079,2020-12-21,DepartmentChange,D003,D007
E0079,2021-04-04,Promotion,JL2,JL3
E0079,2021-05-12,Promotion,JL3,JL4
E0079,2021-06-01,JobLevelChange,JL4,JL3
E0080,2023-05-05,Promotion,JL2,JL3
E0081,2023-01-02,DepartmentChange,D001,D010
E0081,2023-01-24,Promotion,JL6,JL6
E0081,2023-01-28,JobLevelChange,JL6,JL1
E0081,2023-03-20,DepartmentChange,D010,D006
E0082,2023-08-14,Promotion,JL3,JL4
E0083,2022-06-06,JobLevelChange,JL6,JL1
E0083,2023-04-12,DepartmentChange,D010,D006
E0083,2023-08-19,JobLevelChange,JL1,JL6
E0083,2023-09-23,Promotion,JL6,JL6
E0084,2020-04-21,Promotion,JL2,JL3
E0084,2020-07-04,Promotion,JL3,JL4
E0084,2020-11-05,JobLevelChange,JL4,JL2
E0084,2021-03-07,JobLevelChange,JL2,JL2
E0087,2020-11-03,Promotion,JL1,JL2
E0087,2020-11-04,JobLevelChange,JL2,JL2
E0087,2020-11-12,DepartmentChange,D002,D001
E0087,2020-11-22,DepartmentChange,D001,D005
E0088,2021-11-24,Promotion,JL1,JL2
E0088,2022-01-07,DepartmentChange,D009,D002
E0088,2022-03-28,DepartmentChange,D002,D008
E0089,2020-08-23,Promotion,JL6,JL6
E0090,2021-11-02,Promotion,JL2,JL3
E0090,2022-07-20,Promotion,JL3,JL4
E0090,2023-07-11,JobLevelChange,JL4,JL6
E0090,2024-09-16,Promotion,JL6,JL6
E0090,2025-02-22,Promotion,JL6,JL6
E0091,2020-04-02,Promotion,JL5,JL6
E0091,2021-10-24,DepartmentChange,D006,D010
E0091,2023-03-30,JobLevelChange,JL6,JL3
E0091,2023-06-11,JobLevelChange,JL3,JL4
E0092,2021-05-04,DepartmentChange,D008,D007
E0092,2021-05-27,Promotion,JL4,JL5
E0092,2021-09-01,JobLevelChange,JL5,JL5
E0093,2023-08-07,Promotion,JL2,JL3
E0093,2025-02-04,DepartmentChange,D005,D003
E0093,2025-11-09,DepartmentChange,D003,D006
E0094,2019-08-25,Promotion,JL1,JL2
E0094,2021-03-26,JobLevelChange,JL2,JL3
E0095,2020-09-14,DepartmentChange,D004,D008
E0095,2021-05-26,JobLevelChange,JL4,JL1
E0095,2022-11-12,Promotion,JL1,JL2
E0095,2023-06-09,Promotion,JL2,JL3
E0096,2021-10-02,Promotion,JL2,JL3
E0096,2023-01-30,Promotion,JL3,JL4
E0096,2024-03-31,Promotion,JL4,JL5
E0097,2022-06-09,JobLevelChange,JL3,JL1
E0097,2023-02-24,DepartmentChange,D009,D002
E0099,2021-04-17,DepartmentChange,D006,D007
E0099,2021-05-20,JobLevelChange,JL5,JL6
E0099,2021-05-27,DepartmentChange,D007,D007
E0099,2021-06-20,DepartmentChange,D007,D002
E0099,2021-07-07,DepartmentChange,D002,D010
E0102,2022-07-06,Promotion,JL1,JL2
E0102,2023-12-14,DepartmentChange,D002,D008
E0103,2020-12-05,DepartmentChange,D010,D003
E0103,2022-05-04,Promotion,JL6,JL6
E0103,2023-09-13,DepartmentChange,D003,D008
E0104,2025-09-20,DepartmentChange,D007,D001
E0105,2019-09-22,DepartmentChange,D001,D001
E0105,2021-04-08,JobLevelChange,JL2,JL5
E0105,2022-10-02,JobLevelChange,JL5,JL3
E0107,2024-01-02,DepartmentChange,D003,D004
E0108,2023-11-15,JobLevelChange,JL1,JL2
E0111,2025-08-24,Promotion,JL4,JL5
E0112,2025-03-03,Promotion,JL1,JL2
E0113,2022-03-29,DepartmentChange,D001,D005
E0115,2019-08-21,DepartmentChange,D009,D003
E0115,2020-03-18,DepartmentChange,D003,D006
E0115,2021-06-17,Promotion,JL3,JL4
E0115,2022-08-05,DepartmentChange,D006,D005
E0115,2023-06-19,DepartmentChange,D005,D007
E0116,2023-02-10,DepartmentChange,D006,D006
E0117,2022-09-27,DepartmentChange,D009,D008
E0117,2022-12-26,Promotion,JL3,JL4
E0117,2023-07-09,JobLevelChange,JL4,JL6
E0117,2024-12-24,JobLevelChange,JL6,JL6
E0118,2020-02-21,JobLevelChange,JL4,JL3
E0118,2020-06-06,Promotion,JL3,JL4
E0118,2020-11-02,JobLevelChange,JL4,JL6
E0119,2023-10-26,Promotion,JL5,JL6
E0119,2023-10-30,Promotion,JL6,JL6
E0119,2023-12-31,Promotion,JL6,JL6
E0121,2025-11-30,JobLevelChange,JL2,JL4
E0122,2021-05-25,Promotion,JL3,JL4
E0122,2021-09-25,DepartmentChange,D005,D007
E0124,2021-10-05,Promotion,JL4,JL5
E0124,2022-11-21,DepartmentChange,D004,D002
E0125,2021-03-21,DepartmentChange,D006,D007
E0126,2025-03-15,Promotion,JL3,JL4
E0129,2025-11-08,JobLevelChange,JL2,JL2
E0130,2020-10-12,Promotion,JL3,JL4
E0130,2020-12-17,JobLevelChange,JL4,JL2
E0130,2021-03-03,DepartmentChange,D008,D002
E0130,2022-05-31,Promotion,JL2,JL3
E0131,2025-07-18,DepartmentChange,D002,D002
E0134,2019-09-13,DepartmentChange,D008,D007
E0135,2025-10-21,Promotion,JL4,JL5
E0136,2024-09-03,Promotion,JL4,JL5
E0136,2025-02-14,Promotion,JL5,JL6
E0136,2025-11-07,Promotion,JL6,JL6
E0137,2021-02-01,Promotion,JL2,JL3
E0137,2022-05-15,JobLevelChange,JL3,JL5
E0137,2022-10-05,Promotion,JL5,JL6
E0137,2023-10-26,JobLevelChange,JL6,JL4
E0137,2025-02-20,JobLevelChange,JL4,JL1
E0139,2023-04-25,Promotion,JL3,JL4
E0140,2023-11-12,Promotion,JL6,JL6
E0140,2023-12-23,JobLevelChange,JL6,JL2
E0140,2024-08-04,JobLevelChange,JL2,JL6
E0141,2021-02-12,JobLevelChange,JL1,JL6
E0141,2021-07-14,DepartmentChange,D006,D008
E0141,2022-07-12,Promotion,JL6,JL6
E0141,2022-08-14,DepartmentChange,D008,D008
E0143,2025-01-26,Promotion,JL3,JL4
E0144,2023-02-14,Promotion,JL3,JL4
E0144,2024-02-15,JobLevelChange,JL4,JL1
E0145,2023-02-11,Promotion,JL1,JL2
E0145,2024-06-14,Promotion,JL2,JL3
E0145,2025-02-20,JobLevelChange,JL3,JL5
E0149,2022-03-10,Promotion,JL5,JL6
E0149,2022-05-28,DepartmentChange,D003,D004
E0149,2023-06-02,JobLevelChange,JL6,JL3
E0150,2025-06-18,Promotion,JL2,JL3
E0152,2022-12-23,DepartmentChange,D005,D010
E0152,2023-12-15,JobLevelChange,JL6,JL5
E0153,2020-08-09,JobLevelChange,JL5,JL1
E0153,2020-12-23,JobLevelChange,JL1,JL3
E0153,2021-02-02,JobLevelChange,JL3,JL5
E0153,2021-02-03,DepartmentChange,D006,D003
E0154,2025-07-20,Promotion,JL3,JL4
E0156,2025-11-03,Promotion,JL4,JL5
E0158,2022-09-04,JobLevelChange,JL1,JL4
E0158,2022-12-11,JobLevelChange,JL4,JL5
E0158,2023-03-04,JobLevelChange,JL5,JL4
E0158,2023-06-24,Promotion,JL4,JL5
E0160,2025-05-25,DepartmentChange,D002,D008
E0163,2023-06-20,DepartmentChange,D003,D004
E0163,2024-01-13,Promotion,JL6,JL6
E0163,2024-07-06,DepartmentChange,D004,D009
E0163,2025-04-04,Promotion,JL6,JL6
E0164,2024-02-15,JobLevelChange,JL3,JL4
E0166,2021-11-25,Promotion,JL2,JL3
E0169,2020-05-27,Promotion,JL2,JL3
E0169,2021-08-22,DepartmentChange,D001,D001
E0170,2024-08-15,JobLevelChange,JL4,JL4
E0170,2025-11-30,JobLevelChange,JL4,JL6
E0171,2021-01-31,DepartmentChange,D009,D009
E0171,2022-08-17,DepartmentChange,D009,D008
E0171,2023-03-01,DepartmentChange,D008,D005
E0175,2020-09-02,Promotion,JL5,JL6
E0175,2021-05-16,JobLevelChange,JL6,JL5
E0175,2022-12-12,DepartmentChange,D010,D003
E0176,2020-11-05,Promotion,JL5,JL6
E0176,2022-03-22,DepartmentChange,D006,D008
E0177,2019-07-03,DepartmentChange,D005,D008
E0177,2020-11-07,Promotion,JL4,JL5
E0177,2021-11-12,DepartmentChange,D008,D010
E0177,2023-01-08,Promotion,JL5,JL6
E0178,2024-03-15,Promotion,JL6,JL6
E0178,2025-09-13,JobLevelChange,JL6,JL1
E0179,2022-11-11,DepartmentChange,D002,D007
E0179,2022-11-20,JobLevelChange,JL4,JL2
E0183,2019-08-14,JobLevelChange,JL5,JL2
E0183,2021-02-28,DepartmentChange,D005,D006
E0183,2021-10-30,Promotion,JL2,JL3
E0183,2022-07-24,JobLevelChange,JL3,JL3
E0184,2022-04-24,Promotion,JL4,JL5
E0185,2024-06-14,Promotion,JL4,JL5
E0185,2024-11-17,Promotion,JL5,JL6
E0185,2025-10-14,DepartmentChange,D002,D005
E0186,2025-02-23,Promotion,JL5,JL6
E0188,2020-10-13,Promotion,JL5,JL6
E0188,2022-02-19,JobLevelChange,JL6,JL5
E0188,2022-11-20,JobLevelChange,JL5,JL2
E0190,2023-05-31,Promotion,JL4,JL5
E0190,2024-08-17,DepartmentChange,D007,D009
E0190,2025-07-04,DepartmentChange,D009,D004
E0192,2022-10-14,Promotion,JL6,JL6
E0193,2020-10-16,DepartmentChange,D009,D005
E0193,2022-05-15,Promotion,JL4,JL5
E0193,2023-03-22,DepartmentChange,D005,D006
E0193,2024-06-24,JobLevelChange,JL5,JL5
E0193,2024-12-09,JobLevelChange,JL5,JL4
E0195,2021-10-17,Promotion,JL5,JL6
E0195,2022-02-04,JobLevelChange,JL6,JL1
E0195,2022-08-27,JobLevelChange,JL1,JL6
E0195,2023-11-22,Promotion,JL6,JL6
E0195,2025-06-06,DepartmentChange,D008,D009
E0196,2023-12-16,Promotion,JL6,JL6
E0196,2024-11-08,DepartmentChange,D007,D003
E0196,2025-08-31,Promotion,JL6,JL6
E0197,2020-06-08,Promotion,JL4,JL5
E0197,2021-08-13,Promotion,JL5,JL6
E0197,2021-10-22,JobLevelChange,JL6,JL2
E0198,2019-05-21,JobLevelChange,JL3,JL6
E0198,2020-02-22,Promotion,JL6,JL6
E0198,2020-11-25,JobLevelChange,JL6,JL5
E0198,2021-09-28,DepartmentChange,D001,D010
E0198,2022-10-17,Promotion,JL5,JL6
E0199,2024-11-28,Promotion,JL4,JL5
E0200,2020-08-09,JobLevelChange,JL6,JL4
E0200,2021-04-03,Promotion,JL4,JL5
E0200,2022-03-16,JobLevelChange,JL5,JL3
E0200,2022-05-20,DepartmentChange,D004,D001
E0201,2020-09-03,JobLevelChange,JL2,JL4
E0201,2022-03-22,JobLevelChange,JL4,JL6
E0201,2022-06-03,JobLevelChange,JL6,JL5
E0201,2023-03-20,JobLevelChange,JL5,JL2
E0201,2023-11-29,DepartmentChange,D002,D009
E0202,2021-03-24,JobLevelChange,JL2,JL2
E0202,2021-12-20,JobLevelChange,JL2,JL3
E0202,2023-08-05,DepartmentChange,D006,D010
E0204,2023-05-20,Promotion,JL3,JL4
E0206,2024-01-16,DepartmentChange,D005,D001
E0206,2025-03-22,Promotion,JL2,JL3
E0207,2022-11-03,DepartmentChange,D007,D009
E0207,2023-07-01,DepartmentChange,D009,D004
E0207,2023-07-28,Promotion,JL1,JL2
E0208,2021-02-19,JobLevelChange,JL5,JL6
E0208,2021-10-20,DepartmentChange,D004,D001
E0209,2025-04-28,Promotion,JL5,JL6
E0210,2023-08-24,Promotion,JL2,JL3
E0211,2022-10-01,Promotion,JL5,JL6
E0211,2022-11-12,DepartmentChange,D008,D007
E0211,2023-10-08,DepartmentChange,D007,D004
E0211,2023-12-10,JobLevelChange,JL6,JL3
E0212,2023-08-14,Promotion,JL1,JL2
E0212,2024-11-11,DepartmentChange,D010,D005
E0212,2025-06-20,JobLevelChange,JL2,JL4
E0214,2024-04-20,Promotion,JL4,JL5
E0215,2022-02-19,DepartmentChange,D001,D008
E0215,2022-11-01,Promotion,JL1,JL2
E0215,2023-05-21,Promotion,JL2,JL3
E0216,2023-06-22,DepartmentChange,D003,D005
E0216,2023-07-08,DepartmentChange,D005,D003
E0217,2022-03-27,JobLevelChange,JL1,JL6
E0217,2022-10-31,Promotion,JL6,JL6
E0217,2023-11-13,Promotion,JL6,JL6
E0218,2021-06-06,JobLevelChange,JL6,JL1
E0218,2022-01-06,DepartmentChange,D009,D008
E0218,2022-07-06,JobLevelChange,JL1,JL2
E0218,2023-12-16,DepartmentChange,D008,D007
E0218,2024-02-09,DepartmentChange,D007,D007
E0220,2025-09-13,JobLevelChange,JL6,JL3
E0221,2021-08-29,DepartmentChange,D001,D009
E0221,2023-02-16,JobLevelChange,JL3,JL4
E0221,2023-04-12,JobLevelChange,JL4,JL3
E0221,2024-02-05,DepartmentChange,D009,D003
E0221,2024-07-04,Promotion,JL3,JL4
E0223,2023-03-01,DepartmentChange,D004,D009
E0223,2024-03-31,Promotion,JL1,JL2
E0223,2024-09-17,Promotion,JL2,JL3
E0223,2024-12-12,JobLevelChange,JL3,JL3
E0223,2025-08-03,DepartmentChange,D009,D005
E0225,2021-02-17,Promotion,JL1,JL2
E0226,2020-03-28,JobLevelChange,JL4,JL1
E0226,2020-06-29,DepartmentChange,D007,D002
E0228,2025-09-03,Promotion,JL1,JL2
E0229,2024-12-16,Promotion,JL3,JL4
E0232,2024-04-11,DepartmentChange,D003,D009
E0232,2024-08-28,JobLevelChange,JL2,JL6
E0232,2025-01-23,DepartmentChange,D009,D002
E0232,2025-06-09,Promotion,JL6,JL6
E0234,2020-12-04,DepartmentChange,D006,D003
E0234,2022-05-15,Promotion,JL2,JL3
E0234,2022-10-01,Promotion,JL3,JL4
E0234,2022-12-10,Promotion,JL4,JL5
E0234,2023-10-08,Promotion,JL5,JL6
E0235,2020-07-24,JobLevelChange,JL2,JL3
E0235,2021-03-16,DepartmentChange,D008,D002
E0238,2024-09-22,JobLevelChange,JL4,JL6
E0239,2019-06-01,JobLevelChange,JL2,JL5
E0239,2019-06-11,JobLevelChange,JL5,JL2
E0239,2019-06-14,DepartmentChange,D006,D007
E0239,2019-07-27,Promotion,JL2,JL3
E0239,2019-08-22,Promotion,JL3,JL4
E0241,2021-09-14,DepartmentChange,D008,D007
E0241,2022-04-16,JobLevelChange,JL4,JL2
E0241,2023-04-07,DepartmentChange,D007,D002
E0241,2023-12-17,JobLevelChange,JL2,JL4
E0243,2025-01-20,JobLevelChange,JL1,JL6
E0244,2023-07-08,Promotion,JL2,JL3
E0244,2024-03-10,JobLevelChange,JL3,JL2
E0244,2025-03-27,Promotion,JL2,JL3
E0244,2025-10-24,DepartmentChange,D007,D003
E0245,2022-02-19,JobLevelChange,JL3,JL3
E0246,2019-12-09,Promotion,JL5,JL6
E0248,2024-03-05,JobLevelChange,JL6,JL3
E0248,2025-05-08,JobLevelChange,JL3,JL4
E0248,2025-11-02,Promotion,JL4,JL5
E0249,2023-07-03,Promotion,JL2,JL3
E0249,2024-11-01,DepartmentChange,D001,D010
E0249,2025-04-12,DepartmentChange,D010,D006
E0250,2025-10-31,DepartmentChange,D002,D010
E0251,2024-09-19,Promotion,JL6,JL6
E0251,2024-09-25,DepartmentChange,D001,D008
E0251,2024-10-03,DepartmentChange,D008,D010
E0252,2022-04-18,DepartmentChange,D002,D008
E0252,2023-10-13,DepartmentChange,D008,D010
E0253,2024-07-23,DepartmentChange,D009,D005
E0253,2025-11-23,DepartmentChange,D005,D003
E0254,2024-07-10,DepartmentChange,D001,D009
E0255,2021-12-25,JobLevelChange,JL2,JL5
E0255,2022-03-29,JobLevelChange,JL5,JL5
E0255,2022-06-25,Promotion,JL5,JL6
E0255,2022-07-28,JobLevelChange,JL6,JL2
E0255,2022-10-05,DepartmentChange,D005,D008
E0256,2023-01-08,Promotion,JL5,JL6
E0256,2024-02-23,Promotion,JL6,JL6
E0257,2023-06-09,Promotion,JL2,JL3
E0258,2022-03-07,DepartmentChange,D007,D001
E0258,2023-09-08,DepartmentChange,D001,D008
E0258,2024-04-24,DepartmentChange,D008,D009
E0258,2025-03-20,Promotion,JL5,JL6
E0259,2021-04-05,JobLevelChange,JL6,JL5
E0259,2021-09-18,JobLevelChange,JL5,JL1
E0259,2022-07-12,DepartmentChange,D003,D001
E0259,2024-03-03,Promotion,JL1,JL2
E0260,2024-05-15,JobLevelChange,JL2,JL4
E0261,2023-12-12,DepartmentChange,D010,D003
E0261,2024-09-26,JobLevelChange,JL1,JL3
E0261,2024-11-06,DepartmentChange,D003,D004
E0262,2025-05-03,JobLevelChange,JL2,JL6
E0264,2025-09-30,JobLevelChange,JL4,JL4
E0265,2021-07-05,Promotion,JL3,JL4
E0266,2024-04-22,Promotion,JL2,JL3
E0266,2025-05-14,JobLevelChange,JL3,JL2
E0267,2021-02-22,DepartmentChange,D001,D003
E0267,2022-03-12,Promotion,JL2,JL3
E0267,2022-12-23,Promotion,JL3,JL4
E0267,2023-02-01,DepartmentChange,D003,D009
E0268,2025-07-08,DepartmentChange,D003,D003
E0268,2025-10-02,JobLevelChange,JL5,JL2
E0269,2024-12-13,JobLevelChange,JL3,JL2
E0270,2021-10-09,DepartmentChange,D007,D006
E0273,2021-07-20,JobLevelChange,JL3,JL4
E0273,2022-05-17,Promotion,JL4,JL5
E0273,2023-09-13,JobLevelChange,JL5,JL1
E0273,2023-10-20,JobLevelChange,JL1,JL5
E0274,2021-04-17,Promotion,JL6,JL6
E0274,2021-04-23,DepartmentChange,D003,D002
E0277,2023-05-28,JobLevelChange,JL6,JL2
E0278,2023-07-15,DepartmentChange,D002,D002
E0278,2023-10-15,JobLevelChange,JL3,JL5
E0278,2024-08-16,JobLevelChange,JL5,JL5
E0279,2023-02-20,DepartmentChange,D006,D001
E0279,2024-08-25,Promotion,JL6,JL6
E0279,2025-05-21,Promotion,JL6,JL6
E0279,2025-09-10,Promotion,JL6,JL6
E0279,2025-10-26,DepartmentChange,D001,D004
E0280,2021-12-19,DepartmentChange,D007,D007
E0280,2023-03-21,DepartmentChange,D007,D006
E0280,2023-12-18,JobLevelChange,JL4,JL3
E0280,2024-09-08,DepartmentChange,D006,D001
E0282,2023-02-21,JobLevelChange,JL2,JL2
E0282,2023-04-08,JobLevelChange,JL2,JL3
E0282,2023-12-19,DepartmentChange,D008,D010
E0283,2020-07-16,DepartmentChange,D005,D002
E0283,2021-06-24,Promotion,JL1,JL2
E0283,2022-12-08,Promotion,JL2,JL3
E0284,2023-06-02,DepartmentChange,D009,D010
E0284,2023-06-19,DepartmentChange,D010,D010
E0284,2023-08-23,JobLevelChange,JL5,JL6
E0285,2024-12-20,JobLevelChange,JL4,JL2
E0285,2025-07-13,DepartmentChange,D009,D010
E0285,2025-11-11,JobLevelChange,JL2,JL5
E0287,2020-09-30,DepartmentChange,D007,D006
E0287,2021-01-11,DepartmentChange,D006,D006
E0287,2021-07-28,JobLevelChange,JL2,JL5
E0287,2022-02-25,DepartmentChange,D006,D002
E0287,2022-09-15,JobLevelChange,JL5,JL2
E0288,2022-09-08,Promotion,JL3,JL4
E0288,2023-12-25,Promotion,JL4,JL5
E0288,2024-08-05,DepartmentChange,D007,D003
E0288,2025-10-20,Promotion,JL5,JL6
E0289,2021-04-15,JobLevelChange,JL5,JL5
E0291,2020-06-27,JobLevelChange,JL3,JL6
E0291,2020-11-02,JobLevelChange,JL6,JL5
E0291,2021-02-27,JobLevelChange,JL5,JL4
E0291,2021-09-16,JobLevelChange,JL4,JL4
E0294,2019-12-05,JobLevelChange,JL4,JL5
E0294,2019-12-07,JobLevelChange,JL5,JL1
E0294,2020-01-17,DepartmentChange,D007,D008
E0294,2020-01-18,JobLevelChange,JL1,JL5
E0294,2020-01-21,DepartmentChange,D008,D008
E0298,2023-12-05,JobLevelChange,JL5,JL6
E0298,2025-02-06,Promotion,JL6,JL6
E0299,2024-11-27,DepartmentChange,D003,D010
E0299,2025-01-26,JobLevelChange,JL4,JL2
E0300,2024-12-17,DepartmentChange,D004,D002
E0301,2025-02-27,JobLevelChange,JL3,JL4
E0303,2022-01-05,Promotion,JL6,JL6
E0303,2022-11-25,DepartmentChange,D003,D005
E0303,2023-02-18,JobLevelChange,JL6,JL4
E0303,2023-05-19,Promotion,JL4,JL5
E0303,2024-07-16,Promotion,JL5,JL6
E0304,2024-05-20,Promotion,JL4,JL5
E0304,2024-12-21,DepartmentChange,D005,D002
E0305,2020-08-05,Promotion,JL1,JL2
E0305,2021-05-07,Promotion,JL2,JL3
E0305,2021-11-06,Promotion,JL3,JL4
E0305,2022-07-17,Promotion,JL4,JL5
E0305,2022-10-27,Promotion,JL5,JL6
E0307,2022-01-02,DepartmentChange,D004,D006
E0307,2023-04-04,DepartmentChange,D006,D007
E0307,2024-02-12,DepartmentChange,D007,D001
E0307,2025-05-13,JobLevelChange,JL1,JL2
E0308,2025-02-13,Promotion,JL2,JL3
E0309,2023-10-14,Promotion,JL4,JL5
E0309,2024-09-27,JobLevelChange,JL5,JL4
E0310,2021-03-05,DepartmentChange,D009,D003
E0310,2022-06-14,JobLevelChange,JL4,JL5
E0310,2023-01-07,JobLevelChange,JL5,JL1
E0310,2023-08-02,DepartmentChange,D003,D007
E0310,2024-03-04,DepartmentChange,D007,D003
E0311,2021-04-24,JobLevelChange,JL3,JL5
E0311,2022-05-21,DepartmentChange,D004,D010
E0311,2023-09-19,DepartmentChange,D010,D009
E0312,2023-07-04,JobLevelChange,JL6,JL3
E0312,2024-06-02,JobLevelChange,JL3,JL5
E0312,2025-06-30,DepartmentChange,D010,D001
E0312,2025-10-24,Promotion,JL5,JL6
E0314,2023-03-09,DepartmentChange,D008,D002
E0314,2024-07-13,JobLevelChange,JL3,JL4
E0314,2024-07-16,JobLevelChange,JL4,JL1
E0315,2023-05-01,DepartmentChange,D009,D005
E0315,2023-06-19,JobLevelChange,JL1,JL4
E0315,2023-09-30,Promotion,JL4,JL5
E0315,2023-10-31,Promotion,JL5,JL6
E0317,2023-09-21,DepartmentChange,D008,D007
E0319,2020-12-01,DepartmentChange,D001,D009
E0319,2021-05-25,DepartmentChange,D009,D003
